City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Kiruna,SE,2022-09-24 20:35:47,67.8557,20.2251,45.52,93,100,6.91
249,Yulara,AU,2022-09-24 20:35:47,-25.2406,130.9889,71.13,21,99,5.44
250,Warren,US,2022-09-24 20:35:48,39.4334,-84.1666,76.55,61,0,11.5
251,Faanui,PF,2022-09-24 20:35:48,-16.4833,-151.75,78.3,74,7,20.67
252,Chhabra,IN,2022-09-24 20:35:49,24.6667,76.8333,71.58,89,73,7.38
253,Pisco,PE,2022-09-24 20:35:49,-13.7,-76.2167,66.25,63,0,11.5
254,Pringsewu,ID,2022-09-24 20:35:50,-5.3582,104.9744,73.13,97,23,3.91
255,Talcahuano,CL,2022-09-24 20:35:50,-36.7167,-73.1167,58.68,58,20,12.66
256,Isangel,VU,2022-09-24 20:35:51,-19.55,169.2667,78.91,83,2,2.3
257,Imeni Zhelyabova,RU,2022-09-24 20:35:51,58.9544,36.5956,46.72,96,100,10.56
258,Berlevag,NO,2022-09-24 20:26:15,70.8578,29.0864,49.95,71,100,20.71
259,Alta Floresta,BR,2022-09-24 20:35:53,-9.8756,-56.0861,96.62,36,40,6.91
260,Union City,US,2022-09-24 20:35:54,37.5958,-122.0192,95.56,37,0,8.05
261,Amahai,ID,2022-09-24 20:35:54,-3.3333,128.9167,77.29,84,100,2.73
262,Kattivakkam,IN,2022-09-24 20:26:26,13.2167,80.3167,86.09,68,100,5.57
263,Walvis Bay,NA,2022-09-24 20:35:55,-22.9575,14.5053,58.15,77,95,4.61
264,Kakonko,TZ,2022-09-24 20:35:56,-3.2828,30.9642,70.9,51,47,1.86
265,Alexandria,EG,2022-09-24 20:32:02,31.2156,29.9553,73.94,68,7,13.33
266,Chapais,CA,2022-09-24 20:26:37,49.7834,-74.8492,60.58,39,0,8.7
267,Soro,IN,2022-09-24 20:35:57,21.2881,86.6858,77.94,90,100,2.95
268,San Quintin,MX,2022-09-24 20:35:58,30.4833,-115.95,78.76,61,7,12.57
269,Ingham,US,2022-09-24 20:35:58,42.6,-84.3833,66.38,68,100,4.61
270,Fairbanks,US,2022-09-24 20:35:59,64.8378,-147.7164,49.08,79,0,6.91
271,Krasnovishersk,RU,2022-09-24 20:35:59,60.4078,57.082,45.93,82,100,6.33
272,Port Blair,IN,2022-09-24 20:33:43,11.6667,92.75,80.31,80,89,7.34
273,Balkanabat,TM,2022-09-24 20:36:00,39.5108,54.3671,78.01,55,0,9.13
274,Najran,SA,2022-09-24 20:36:01,17.4924,44.1277,81.25,21,9,1.01
275,Bahir Dar,ET,2022-09-24 20:36:01,11.5936,37.3908,60.01,87,100,2.53
276,Henties Bay,NA,2022-09-24 20:36:02,-22.116,14.2845,55.06,89,84,5.3
277,Lunenburg,CA,2022-09-24 20:36:03,44.3835,-64.3155,56.05,66,100,21.85
278,Andenes,NO,2022-09-24 20:36:03,69.3143,16.1194,48.18,93,100,2.3
279,Sola,VU,2022-09-24 20:37:04,-13.8833,167.55,77.67,89,86,2.3
280,Jarocin,PL,2022-09-24 20:35:49,51.9727,17.5026,50.72,65,45,4.9
281,Marsh Harbour,BS,2022-09-24 20:35:37,26.5412,-77.0636,81.91,75,25,13.15
282,Makinsk,KZ,2022-09-24 20:37:06,52.6292,70.4169,62.58,45,50,7.87
283,Bom Jardim,BR,2022-09-24 20:37:06,-7.7958,-35.5872,72.84,70,0,11.03
284,Baculin,PH,2022-09-24 20:37:07,7.4525,126.5842,78.28,79,93,4.81
285,Puerto Rondon,CO,2022-09-24 20:37:08,6.2805,-71.1,86.63,65,88,4.09
286,Sambava,MG,2022-09-24 20:37:09,-14.2667,50.1667,70.18,87,80,12.26
287,Saint-Francois,FR,2022-09-24 20:37:10,46.4154,3.9054,57.67,94,100,2.3
288,Key Largo,US,2022-09-24 20:37:00,25.0865,-80.4473,87.8,69,11,10.85
289,Pawayan,IN,2022-09-24 20:37:11,28.0667,80.1,75.09,92,99,6.4
290,Rocha,UY,2022-09-24 20:27:58,-34.4833,-54.3333,60.64,60,2,8.52
291,Tiznit,MA,2022-09-24 20:37:12,29.5833,-9.5,69.75,66,100,2.77
292,San Patricio,US,2022-09-24 20:37:13,28.017,-97.5169,92.07,48,15,12.57
293,Ilam,NP,2022-09-24 20:37:13,26.9167,87.9167,67.5,92,100,2.75
