City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Vestmanna,FO,62.1564,-7.1664,43.72,100,100,14.97,light intensity drizzle
304,Illela,NG,13.7292,5.2975,84.0,62,38,11.18,scattered clouds
305,Jaral Del Progreso,MX,20.3667,-101.0667,77.07,35,98,7.2,overcast clouds
306,Cori,IT,41.6444,12.9128,64.22,88,76,5.3,broken clouds
307,Ahuimanu,US,21.4447,-157.8378,85.17,60,40,10.36,scattered clouds
308,Yanam,IN,16.7333,82.2167,76.89,88,84,1.16,broken clouds
309,Loviisa,FI,60.4566,26.2251,46.76,78,9,7.14,clear sky
310,Birao,CF,10.2849,22.7882,71.67,95,97,5.32,overcast clouds
311,San Quintin,MX,30.4833,-115.95,77.38,69,1,12.8,clear sky
312,Dovers,VC,12.8833,-61.1833,80.19,73,100,11.32,overcast clouds
313,Nurota,UZ,40.5614,65.6886,56.73,36,0,10.89,clear sky
314,Srednekolymsk,RU,67.45,153.6833,28.69,71,59,11.72,broken clouds
315,Noumea,NC,-22.2763,166.4572,78.78,99,0,3.33,clear sky
316,Sitka,US,57.0531,-135.33,55.29,76,100,3.44,overcast clouds
317,Hailey,US,43.5196,-114.3153,85.87,21,0,11.5,clear sky
318,Poum,NC,-20.2333,164.0167,77.07,77,19,10.6,few clouds
319,Karpogory,RU,64.0019,44.4451,33.06,82,100,6.06,overcast clouds
320,Varfurile,RO,46.3167,22.5167,54.16,96,59,2.89,broken clouds
321,Boende,CD,-0.2167,20.8667,70.84,98,93,2.55,overcast clouds
322,Oussouye,SN,12.485,-16.5469,82.49,82,80,3.87,broken clouds
323,Faanui,PF,-16.4833,-151.75,78.33,73,2,12.19,clear sky
324,Porto Belo,BR,-27.1578,-48.5531,68.79,81,100,6.89,overcast clouds
325,Tigzirt,DZ,36.8886,4.1198,69.8,69,0,12.12,clear sky
326,Mazagao,BR,-0.115,-51.2894,89.65,64,74,7.49,broken clouds
327,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,78,20,13.24,few clouds
328,Arrecife,ES,28.963,-13.5477,71.58,78,20,12.66,few clouds
329,Ambilobe,MG,-13.2,49.05,65.75,74,0,4.16,clear sky
330,Denpasar,ID,-8.65,115.2167,76.71,88,40,3.44,scattered clouds
331,Humenne,SK,48.9371,21.9163,55.54,99,97,2.13,light rain
332,Nantucket,US,41.2835,-70.0995,69.91,58,3,15.48,clear sky
333,Casper,US,42.8666,-106.3131,83.71,24,0,7.0,clear sky
334,Zlitan,LY,32.4674,14.5687,79.39,75,100,7.43,overcast clouds
335,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,79,21,9.93,few clouds
336,Isangel,VU,-19.55,169.2667,80.71,78,20,10.36,few clouds
337,Lhokseumawe,ID,5.1801,97.1507,76.57,88,100,4.36,overcast clouds
338,Narrabri,AU,-30.3167,149.7833,57.52,81,0,1.01,clear sky
339,Ryotsu,JP,38.0833,138.4333,66.61,79,100,10.09,overcast clouds
340,Koumac,NC,-20.5667,164.2833,79.59,65,0,1.74,clear sky
341,Saint-Joseph,RE,-21.3667,55.6167,64.78,72,21,10.29,few clouds
342,Ajacuba,MX,20.0875,-99.1125,65.7,48,79,15.01,broken clouds
343,Plastun,RU,44.7561,136.2939,55.98,77,0,3.02,clear sky
344,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,88,40,2.3,scattered clouds
345,Margate,GB,51.3813,1.3862,50.7,77,65,7.0,broken clouds
